,1.01,1.03,2.04,2.05,2.06,5.01,5.02,5.04,6.01,6.02,6.03,6.05,6.09,9.02,9.04,9.06,10.03,10.06,10.09,10.12,11.01,11.02,11.04,11.07,12.01,12.02,13.02,13.05,13.07,13.09,14.02,14.04,15.01,15.02,15.04,15.06,16.01,17.04,17.05,17.06,18.01,18.02,20.01,20.02,20.05,20.06,21.01,21.02,22.01,22.02,22.03,22.05,22.07,23.01,23.02
1.01,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.038,0.038,0.058,0.019,0.019,0.038,0.019,0.044,0.044,0.044,0.025,0.038,0,0.019,0,0.019,0,0.019,0.013,0.044,0.044,0.025,0.044,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
1.03,0,0,0.038,0.038,0.038,0.019,0,0.042,0,0.019,0.019,0,0,0,0.025,0.019,0,0,0.019,0,0,0,0,0,0.058,0.019,0.038,0.019,0.038,0.019,0.038,0.032,0.05,0.043,0.043,0.043,0.042,0.019,0.045,0.045,0.045,0.045,0.019,0.019,0.019,0.019,0,0.044,0,0.019,0,0.019,0.019,0.038,0.038
2.04,0.019,0.038,0,0.038,0,0.019,0.019,0.061,0.019,0.038,0,0.019,0.019,0.062,0.062,0.082,0.083,0.083,0.083,0.064,0.038,0.038,0.038,0.019,0.058,0.038,0.038,0.019,0.038,0.019,0.038,0.032,0.064,0.064,0.045,0.064,0.038,0.062,0.062,0.062,0.043,0.043,0.064,0.064,0.044,0.044,0.019,0.038,0.019,0.038,0.019,0.019,0.019,0.045,0.045
2.05,0.019,0.038,0.038,0,0.038,0.043,0.019,0.061,0.019,0,0.038,0.019,0.019,0.107,0.082,0.101,0.083,0.083,0.102,0.083,0.058,0.058,0.058,0.038,0.088,0.038,0.058,0.038,0.058,0.038,0.058,0.051,0.107,0.083,0.064,0.083,0.045,0.062,0.082,0.082,0.062,0.062,0.064,0.064,0.064,0.064,0.043,0.019,0.043,0.043,0.043,0.043,0.043,0.064,0.064
2.06,0.019,0.038,0,0.038,0,0.042,0.019,0.062,0.019,0.038,0,0.019,0.019,0.062,0.062,0.106,0.083,0.083,0.109,0.064,0.038,0.038,0.038,0.045,0.058,0.038,0.038,0.019,0.038,0.019,0.038,0.032,0.064,0.064,0.045,0.064,0.038,0.062,0.062,0.088,0.043,0.043,0.064,0.064,0.07,0.044,0.019,0.038,0.019,0.038,0.019,0.019,0.019,0.045,0.069
5.01,0.019,0.019,0.019,0.043,0.042,0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.05,0.043,0.043,0.044,0.044,0.067,0.044,0.019,0.019,0.019,0.042,0.043,0.024,0.024,0.024,0.024,0.024,0.043,0.043,0.064,0.05,0.05,0.05,0.026,0.038,0.038,0.061,0,0,0.019,0.019,0.042,0.019,0.038,0.019,0.038,0.038,0.038,0.038,0.038,0.019,0.019
5.02,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.043,0.043,0.062,0.044,0.044,0.064,0.044,0.019,0.019,0.019,0,0.038,0,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
5.04,0.042,0.042,0.061,0.061,0.062,0.019,0.042,0,0.042,0.042,0.061,0.042,0.042,0.043,0.085,0.082,0.086,0.086,0.105,0.086,0.061,0.061,0.061,0.045,0.085,0.042,0.061,0.042,0.061,0.042,0.061,0.019,0.064,0.087,0.067,0.087,0.061,0.085,0.085,0.098,0.066,0.066,0.067,0.067,0.07,0.067,0.08,0.061,0.08,0.08,0.08,0.038,0.08,0.067,0.067
6.01,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.043,0.043,0.062,0.044,0.044,0.064,0.044,0.019,0.019,0.019,0,0.038,0,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
6.02,0.019,0.019,0.038,0,0.038,0.019,0.019,0.042,0.019,0,0.038,0.019,0.019,0.062,0.062,0.082,0.064,0.064,0.083,0.064,0.038,0.038,0.038,0.019,0.048,0.019,0.038,0.019,0.038,0.019,0.038,0.032,0.083,0.064,0.045,0.064,0.019,0.062,0.062,0.062,0.024,0.024,0.044,0.044,0.044,0.044,0.038,0.019,0.038,0.038,0.038,0.038,0.038,0.045,0.045
6.03,0.019,0.019,0,0.038,0,0.019,0.019,0.061,0.019,0.038,0,0.019,0.019,0.043,0.043,0.062,0.064,0.064,0.064,0.044,0.019,0.019,0.019,0,0.038,0.019,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.062,0.043,0.043,0.024,0.024,0.044,0.044,0.025,0.025,0.019,0.038,0.019,0.038,0.019,0.019,0.019,0.026,0.026
6.05,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.043,0.043,0.062,0.044,0.044,0.064,0.044,0.019,0.019,0.019,0,0.038,0,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
6.09,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.043,0.043,0.062,0.044,0.044,0.064,0.044,0.019,0.019,0.019,0,0.038,0,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
9.02,0.038,0,0.062,0.107,0.062,0.05,0.043,0.043,0.043,0.062,0.043,0.043,0.043,0,0.025,0,0.019,0.019,0.019,0.019,0.024,0.024,0.024,0.024,0.083,0.064,0.064,0.045,0.064,0.064,0.083,0.083,0.126,0.12,0.12,0.12,0.067,0.082,0.107,0.107,0.064,0.088,0.083,0.083,0.083,0.083,0.038,0.063,0.019,0.038,0.019,0.038,0.038,0.089,0.089
9.04,0.038,0.025,0.062,0.082,0.062,0.043,0.043,0.085,0.043,0.062,0.043,0.043,0.043,0.025,0,0.025,0.044,0.044,0.044,0.044,0.024,0.049,0.049,0.049,0.077,0.063,0.063,0.044,0.063,0.063,0.083,0.095,0.075,0.1,0.1,0.1,0.038,0.087,0.113,0.113,0.07,0.094,0.089,0.089,0.089,0.089,0.019,0.038,0,0.025,0,0.025,0.025,0.095,0.095
9.06,0.058,0.019,0.082,0.101,0.106,0.043,0.062,0.082,0.062,0.082,0.062,0.062,0.062,0,0.025,0,0.038,0.038,0.019,0.019,0.024,0.024,0.024,0.049,0.077,0.058,0.062,0.019,0.062,0.038,0.058,0.077,0.1,0.094,0.094,0.094,0.061,0.101,0.107,0.12,0.064,0.088,0.102,0.102,0.108,0.083,0.019,0.063,0,0.038,0,0.019,0.019,0.089,0.115
10.03,0.019,0,0.083,0.083,0.083,0.044,0.044,0.086,0.044,0.064,0.064,0.044,0.044,0.019,0.044,0.038,0,0,0.019,0,0.025,0.025,0.025,0.025,0.096,0.058,0.077,0.038,0.077,0.058,0.058,0.051,0.1,0.094,0.094,0.094,0.061,0.077,0.103,0.103,0.064,0.083,0.083,0.083,0.083,0.083,0,0.044,0.019,0.038,0.019,0.038,0.038,0.09,0.09
10.06,0.019,0,0.083,0.083,0.083,0.044,0.044,0.086,0.044,0.064,0.064,0.044,0.044,0.019,0.044,0.038,0,0,0.019,0,0.025,0.025,0.025,0.025,0.096,0.058,0.077,0.038,0.077,0.058,0.058,0.051,0.1,0.094,0.094,0.094,0.061,0.077,0.103,0.103,0.064,0.083,0.083,0.083,0.083,0.083,0,0.044,0.019,0.038,0.019,0.038,0.038,0.09,0.09
10.09,0.038,0.019,0.083,0.102,0.109,0.067,0.064,0.105,0.064,0.083,0.064,0.064,0.064,0.019,0.044,0.019,0.019,0.019,0,0,0.025,0.025,0.025,0.05,0.096,0.077,0.082,0.038,0.082,0.058,0.058,0.071,0.1,0.094,0.094,0.094,0.061,0.096,0.103,0.115,0.064,0.083,0.102,0.102,0.108,0.083,0,0.044,0.019,0.058,0.019,0.038,0.038,0.09,0.115
10.12,0.019,0,0.064,0.083,0.064,0.044,0.044,0.086,0.044,0.064,0.044,0.044,0.044,0.019,0.044,0.019,0,0,0,0,0.025,0.025,0.025,0.025,0.096,0.058,0.058,0.038,0.058,0.058,0.058,0.051,0.1,0.094,0.094,0.094,0.061,0.077,0.103,0.103,0.064,0.083,0.083,0.083,0.083,0.083,0,0.044,0.019,0.038,0.019,0.038,0.038,0.09,0.09
11.01,0.044,0,0.038,0.058,0.038,0.019,0.019,0.061,0.019,0.038,0.019,0.019,0.019,0.024,0.024,0.024,0.025,0.025,0.025,0.025,0,0,0,0,0.101,0.062,0.062,0.043,0.062,0.062,0.058,0.077,0.075,0.075,0.075,0.075,0.038,0.064,0.09,0.09,0.045,0.07,0.058,0.058,0.058,0.058,0.025,0.044,0.024,0.024,0.024,0.024,0.024,0.064,0.064
11.02,0.044,0,0.038,0.058,0.038,0.019,0.019,0.061,0.019,0.038,0.019,0.019,0.019,0.024,0.049,0.024,0.025,0.025,0.025,0.025,0,0,0,0,0.101,0.062,0.062,0.043,0.062,0.062,0.058,0.077,0.101,0.094,0.094,0.094,0.061,0.083,0.109,0.109,0.064,0.09,0.077,0.077,0.077,0.077,0.025,0.069,0.024,0.043,0.024,0.043,0.043,0.083,0.083
11.04,0.044,0,0.038,0.058,0.038,0.019,0.019,0.061,0.019,0.038,0.019,0.019,0.019,0.024,0.049,0.024,0.025,0.025,0.025,0.025,0,0,0,0,0.101,0.062,0.062,0.043,0.062,0.062,0.058,0.077,0.101,0.094,0.094,0.094,0.061,0.083,0.109,0.109,0.064,0.09,0.077,0.077,0.077,0.077,0.025,0.069,0.024,0.043,0.024,0.043,0.043,0.083,0.083
11.07,0.025,0,0.019,0.038,0.045,0.042,0,0.045,0,0.019,0,0,0,0.024,0.049,0.049,0.025,0.025,0.05,0.025,0,0,0,0,0.082,0.043,0.043,0.043,0.043,0.043,0.038,0.057,0.101,0.094,0.094,0.094,0.061,0.064,0.09,0.115,0.045,0.07,0.038,0.038,0.038,0.038,0.025,0.069,0.024,0.043,0.024,0.043,0.043,0.058,0.083
12.01,0.038,0.058,0.058,0.088,0.058,0.043,0.038,0.085,0.038,0.048,0.038,0.038,0.038,0.083,0.077,0.077,0.096,0.096,0.096,0.096,0.101,0.101,0.101,0.082,0,0.064,0.064,0.064,0.064,0.064,0.083,0.077,0.113,0.134,0.114,0.134,0.069,0.082,0.107,0.107,0.093,0.093,0.083,0.083,0.083,0.083,0.058,0.087,0.058,0.058,0.058,0.058,0.058,0.064,0.064
12.02,0,0.019,0.038,0.038,0.038,0.024,0,0.042,0,0.019,0.019,0,0,0.064,0.063,0.058,0.058,0.058,0.077,0.058,0.062,0.062,0.062,0.043,0.064,0,0.019,0,0.019,0,0.019,0.013,0.12,0.089,0.07,0.089,0.067,0.062,0.088,0.088,0.069,0.069,0.064,0.064,0.064,0.064,0.058,0.083,0.058,0.077,0.058,0.077,0.077,0.045,0.045
13.02,0.019,0.038,0.038,0.058,0.038,0.024,0.019,0.061,0.019,0.038,0.019,0.019,0.019,0.064,0.063,0.062,0.077,0.077,0.082,0.058,0.062,0.062,0.062,0.043,0.064,0.019,0,0,0,0,0.019,0.013,0.12,0.089,0.07,0.089,0.067,0.082,0.088,0.088,0.069,0.069,0.083,0.083,0.064,0.064,0.058,0.083,0.058,0.096,0.058,0.077,0.077,0.045,0.045
13.05,0,0.019,0.019,0.038,0.019,0.024,0,0.042,0,0.019,0,0,0,0.045,0.044,0.019,0.038,0.038,0.038,0.038,0.043,0.043,0.043,0.043,0.064,0,0,0,0,0,0.019,0.013,0.1,0.07,0.07,0.07,0.048,0.038,0.064,0.064,0.045,0.045,0.038,0.038,0.038,0.038,0.038,0.063,0.038,0.058,0.038,0.058,0.058,0.019,0.019
13.07,0.019,0.038,0.038,0.058,0.038,0.024,0.019,0.061,0.019,0.038,0.019,0.019,0.019,0.064,0.063,0.062,0.077,0.077,0.082,0.058,0.062,0.062,0.062,0.043,0.064,0.019,0,0,0,0,0.019,0.013,0.12,0.089,0.07,0.089,0.067,0.082,0.088,0.088,0.069,0.069,0.083,0.083,0.064,0.064,0.058,0.083,0.058,0.096,0.058,0.077,0.077,0.045,0.045
13.09,0,0.019,0.019,0.038,0.019,0.024,0,0.042,0,0.019,0,0,0,0.064,0.063,0.038,0.058,0.058,0.058,0.058,0.062,0.062,0.062,0.043,0.064,0,0,0,0,0,0.019,0.013,0.12,0.089,0.07,0.089,0.067,0.062,0.088,0.088,0.069,0.069,0.064,0.064,0.064,0.064,0.058,0.083,0.058,0.077,0.058,0.077,0.077,0.045,0.045
14.02,0.019,0.038,0.038,0.058,0.038,0.043,0.019,0.061,0.019,0.038,0.019,0.019,0.019,0.083,0.083,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.038,0.083,0.019,0.019,0.019,0.019,0.019,0,0.032,0.113,0.083,0.064,0.083,0.067,0.067,0.093,0.093,0.093,0.093,0.083,0.083,0.083,0.083,0.077,0.102,0.077,0.096,0.077,0.096,0.096,0.064,0.064
14.04,0.013,0.032,0.032,0.051,0.032,0.043,0.013,0.019,0.013,0.032,0.013,0.013,0.013,0.083,0.095,0.077,0.051,0.051,0.071,0.051,0.077,0.077,0.077,0.057,0.077,0.013,0.013,0.013,0.013,0.013,0.032,0,0.119,0.102,0.083,0.102,0.08,0.075,0.101,0.12,0.082,0.082,0.077,0.077,0.077,0.077,0.071,0.095,0.071,0.09,0.071,0.077,0.09,0.058,0.077
15.01,0.044,0.05,0.064,0.107,0.064,0.064,0.045,0.064,0.045,0.083,0.045,0.045,0.045,0.126,0.075,0.1,0.1,0.1,0.1,0.1,0.075,0.101,0.101,0.101,0.113,0.12,0.12,0.1,0.12,0.12,0.113,0.119,0,0.05,0.05,0.05,0.067,0.069,0.094,0.094,0.09,0.114,0.114,0.114,0.114,0.114,0.069,0.088,0.069,0.094,0.069,0.094,0.094,0.102,0.102
15.02,0.044,0.043,0.064,0.083,0.064,0.05,0.045,0.087,0.045,0.064,0.045,0.045,0.045,0.12,0.1,0.094,0.094,0.094,0.094,0.094,0.075,0.094,0.094,0.094,0.134,0.089,0.089,0.07,0.089,0.089,0.083,0.102,0.05,0,0,0,0.048,0.043,0.069,0.069,0.045,0.069,0.088,0.088,0.088,0.088,0.069,0.093,0.069,0.069,0.069,0.069,0.069,0.101,0.101
15.04,0.025,0.043,0.045,0.064,0.045,0.05,0.026,0.067,0.026,0.045,0.026,0.026,0.026,0.12,0.1,0.094,0.094,0.094,0.094,0.094,0.075,0.094,0.094,0.094,0.114,0.07,0.07,0.07,0.07,0.07,0.064,0.083,0.05,0,0,0,0.048,0.024,0.05,0.05,0.026,0.05,0.05,0.05,0.05,0.05,0.069,0.093,0.069,0.069,0.069,0.069,0.069,0.075,0.075
15.06,0.044,0.043,0.064,0.083,0.064,0.05,0.045,0.087,0.045,0.064,0.045,0.045,0.045,0.12,0.1,0.094,0.094,0.094,0.094,0.094,0.075,0.094,0.094,0.094,0.134,0.089,0.089,0.07,0.089,0.089,0.083,0.102,0.05,0,0,0,0.048,0.043,0.069,0.069,0.045,0.069,0.088,0.088,0.088,0.088,0.069,0.093,0.069,0.069,0.069,0.069,0.069,0.101,0.101
16.01,0.038,0.042,0.038,0.045,0.038,0.026,0.038,0.061,0.038,0.019,0.038,0.038,0.038,0.067,0.038,0.061,0.061,0.061,0.061,0.061,0.038,0.061,0.061,0.061,0.069,0.067,0.067,0.048,0.067,0.067,0.067,0.08,0.067,0.048,0.048,0.048,0,0.042,0.042,0.042,0.022,0.022,0.061,0.061,0.061,0.061,0.019,0,0.019,0.042,0.019,0.042,0.042,0.066,0.066
17.04,0.043,0.019,0.062,0.062,0.062,0.038,0.043,0.085,0.043,0.062,0.062,0.043,0.043,0.082,0.087,0.101,0.077,0.077,0.096,0.077,0.064,0.083,0.083,0.064,0.082,0.062,0.082,0.038,0.082,0.062,0.067,0.075,0.069,0.043,0.024,0.043,0.042,0,0,0,0,0,0.038,0.038,0.038,0.038,0.038,0.083,0.038,0.038,0.038,0.038,0.038,0.088,0.088
17.05,0.043,0.045,0.062,0.082,0.062,0.038,0.043,0.085,0.043,0.062,0.043,0.043,0.043,0.107,0.113,0.107,0.103,0.103,0.103,0.103,0.09,0.109,0.109,0.09,0.107,0.088,0.088,0.064,0.088,0.088,0.093,0.101,0.094,0.069,0.05,0.069,0.042,0,0,0,0,0,0.064,0.064,0.064,0.064,0.064,0.108,0.064,0.064,0.064,0.064,0.064,0.114,0.114
17.06,0.043,0.045,0.062,0.082,0.088,0.061,0.043,0.098,0.043,0.062,0.043,0.043,0.043,0.107,0.113,0.12,0.103,0.103,0.115,0.103,0.09,0.109,0.109,0.115,0.107,0.088,0.088,0.064,0.088,0.088,0.093,0.12,0.094,0.069,0.05,0.069,0.042,0,0,0,0,0,0.064,0.064,0.089,0.064,0.064,0.108,0.064,0.064,0.064,0.064,0.064,0.114,0.139
18.01,0.024,0.045,0.043,0.062,0.043,0,0.024,0.066,0.024,0.024,0.024,0.024,0.024,0.064,0.07,0.064,0.064,0.064,0.064,0.064,0.045,0.064,0.064,0.045,0.093,0.069,0.069,0.045,0.069,0.069,0.093,0.082,0.09,0.045,0.026,0.045,0.022,0,0,0,0,0,0.045,0.045,0.045,0.045,0.064,0.07,0.064,0.064,0.064,0.064,0.064,0.095,0.095
18.02,0.024,0.045,0.043,0.062,0.043,0,0.024,0.066,0.024,0.024,0.024,0.024,0.024,0.088,0.094,0.088,0.083,0.083,0.083,0.083,0.07,0.09,0.09,0.07,0.093,0.069,0.069,0.045,0.069,0.069,0.093,0.082,0.114,0.069,0.05,0.069,0.022,0,0,0,0,0,0.045,0.045,0.045,0.045,0.064,0.07,0.064,0.064,0.064,0.064,0.064,0.095,0.095
20.01,0.025,0.019,0.064,0.064,0.064,0.019,0.025,0.067,0.025,0.044,0.044,0.025,0.025,0.083,0.089,0.102,0.083,0.083,0.102,0.083,0.058,0.077,0.077,0.038,0.083,0.064,0.083,0.038,0.083,0.064,0.083,0.077,0.114,0.088,0.05,0.088,0.061,0.038,0.064,0.064,0.045,0.045,0,0,0,0,0.038,0.083,0.038,0.038,0.038,0.038,0.038,0.088,0.088
20.02,0.025,0.019,0.064,0.064,0.064,0.019,0.025,0.067,0.025,0.044,0.044,0.025,0.025,0.083,0.089,0.102,0.083,0.083,0.102,0.083,0.058,0.077,0.077,0.038,0.083,0.064,0.083,0.038,0.083,0.064,0.083,0.077,0.114,0.088,0.05,0.088,0.061,0.038,0.064,0.064,0.045,0.045,0,0,0,0,0.038,0.083,0.038,0.038,0.038,0.038,0.038,0.088,0.088
20.05,0.025,0.019,0.044,0.064,0.07,0.042,0.025,0.07,0.025,0.044,0.025,0.025,0.025,0.083,0.089,0.108,0.083,0.083,0.108,0.083,0.058,0.077,0.077,0.038,0.083,0.064,0.064,0.038,0.064,0.064,0.083,0.077,0.114,0.088,0.05,0.088,0.061,0.038,0.064,0.089,0.045,0.045,0,0,0,0,0.038,0.083,0.038,0.038,0.038,0.038,0.038,0.088,0.113
20.06,0.025,0.019,0.044,0.064,0.044,0.019,0.025,0.067,0.025,0.044,0.025,0.025,0.025,0.083,0.089,0.083,0.083,0.083,0.083,0.083,0.058,0.077,0.077,0.038,0.083,0.064,0.064,0.038,0.064,0.064,0.083,0.077,0.114,0.088,0.05,0.088,0.061,0.038,0.064,0.064,0.045,0.045,0,0,0,0,0.038,0.083,0.038,0.038,0.038,0.038,0.038,0.088,0.088
21.01,0.019,0,0.019,0.043,0.019,0.038,0.019,0.08,0.019,0.038,0.019,0.019,0.019,0.038,0.019,0.019,0,0,0,0,0.025,0.025,0.025,0.025,0.058,0.058,0.058,0.038,0.058,0.058,0.077,0.071,0.069,0.069,0.069,0.069,0.019,0.038,0.064,0.064,0.064,0.064,0.038,0.038,0.038,0.038,0,0.019,0,0,0,0,0,0.045,0.045
21.02,0.038,0.044,0.038,0.019,0.038,0.019,0.038,0.061,0.038,0.019,0.038,0.038,0.038,0.063,0.038,0.063,0.044,0.044,0.044,0.044,0.044,0.069,0.069,0.069,0.087,0.083,0.083,0.063,0.083,0.083,0.102,0.095,0.088,0.093,0.093,0.093,0,0.083,0.108,0.108,0.07,0.07,0.083,0.083,0.083,0.083,0.019,0,0.019,0.044,0.019,0.044,0.044,0.089,0.089
22.01,0.019,0,0.019,0.043,0.019,0.038,0.019,0.08,0.019,0.038,0.019,0.019,0.019,0.019,0,0,0.019,0.019,0.019,0.019,0.024,0.024,0.024,0.024,0.058,0.058,0.058,0.038,0.058,0.058,0.077,0.071,0.069,0.069,0.069,0.069,0.019,0.038,0.064,0.064,0.064,0.064,0.038,0.038,0.038,0.038,0,0.019,0,0,0,0,0,0.045,0.045
22.02,0.019,0.019,0.038,0.043,0.038,0.038,0.019,0.08,0.019,0.038,0.038,0.019,0.019,0.038,0.025,0.038,0.038,0.038,0.058,0.038,0.024,0.043,0.043,0.043,0.058,0.077,0.096,0.058,0.096,0.077,0.096,0.09,0.094,0.069,0.069,0.069,0.042,0.038,0.064,0.064,0.064,0.064,0.038,0.038,0.038,0.038,0,0.044,0,0,0,0,0,0.069,0.069
22.03,0.019,0,0.019,0.043,0.019,0.038,0.019,0.08,0.019,0.038,0.019,0.019,0.019,0.019,0,0,0.019,0.019,0.019,0.019,0.024,0.024,0.024,0.024,0.058,0.058,0.058,0.038,0.058,0.058,0.077,0.071,0.069,0.069,0.069,0.069,0.019,0.038,0.064,0.064,0.064,0.064,0.038,0.038,0.038,0.038,0,0.019,0,0,0,0,0,0.045,0.045
22.05,0.019,0.019,0.019,0.043,0.019,0.038,0.019,0.038,0.019,0.038,0.019,0.019,0.019,0.038,0.025,0.019,0.038,0.038,0.038,0.038,0.024,0.043,0.043,0.043,0.058,0.077,0.077,0.058,0.077,0.077,0.096,0.077,0.094,0.069,0.069,0.069,0.042,0.038,0.064,0.064,0.064,0.064,0.038,0.038,0.038,0.038,0,0.044,0,0,0,0,0,0.069,0.069
22.07,0.019,0.019,0.019,0.043,0.019,0.038,0.019,0.08,0.019,0.038,0.019,0.019,0.019,0.038,0.025,0.019,0.038,0.038,0.038,0.038,0.024,0.043,0.043,0.043,0.058,0.077,0.077,0.058,0.077,0.077,0.096,0.09,0.094,0.069,0.069,0.069,0.042,0.038,0.064,0.064,0.064,0.064,0.038,0.038,0.038,0.038,0,0.044,0,0,0,0,0,0.069,0.069
23.01,0.026,0.038,0.045,0.064,0.045,0.019,0.026,0.067,0.026,0.045,0.026,0.026,0.026,0.089,0.095,0.089,0.09,0.09,0.09,0.09,0.064,0.083,0.083,0.058,0.064,0.045,0.045,0.019,0.045,0.045,0.064,0.058,0.102,0.101,0.075,0.101,0.066,0.088,0.114,0.114,0.095,0.095,0.088,0.088,0.088,0.088,0.045,0.089,0.045,0.069,0.045,0.069,0.069,0,0
23.02,0.026,0.038,0.045,0.064,0.069,0.019,0.026,0.067,0.026,0.045,0.026,0.026,0.026,0.089,0.095,0.115,0.09,0.09,0.115,0.09,0.064,0.083,0.083,0.083,0.064,0.045,0.045,0.019,0.045,0.045,0.064,0.077,0.102,0.101,0.075,0.101,0.066,0.088,0.114,0.139,0.095,0.095,0.088,0.088,0.113,0.088,0.045,0.089,0.045,0.069,0.045,0.069,0.069,0,0