,Pop1,Pop2,Pop6,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop17,Pop20,Pop21,Pop22
Pop1,0,-0.229,-0.164,-0.245,-0.112,-0.115,-0.177,-0.074,-0.277,-0.084,-0.049,-0.106,-0.317,-0.089
Pop2,-0.229,0,-0.103,-0.098,-0.007,-0.027,-0.272,0.008,-0.184,-0.005,0.002,-0.007,-0.202,-0.005
Pop6,-0.164,-0.103,0,-0.046,-0.007,-0.026,-0.122,0.013,-0.05,0.012,0.024,-0.008,-0.111,0.027
Pop9,-0.245,-0.098,-0.046,0,-0.088,-0.098,-0.304,-0.027,-0.162,-0.06,-0.039,-0.036,-0.242,-0.045
Pop10,-0.112,-0.007,-0.007,-0.088,0,-0.06,-0.079,0.03,-0.035,0.011,0.033,0.003,-0.134,0.008
Pop11,-0.115,-0.027,-0.026,-0.098,-0.06,0,-0.083,0.021,-0.039,-0.002,0.024,-0.005,-0.133,-0.001
Pop12,-0.177,-0.272,-0.122,-0.304,-0.079,-0.083,0,-0.182,-0.249,-0.131,-0.119,-0.069,-0.36,-0.111
Pop13,-0.074,0.008,0.013,-0.027,0.03,0.021,-0.182,0,-0.098,0.044,0.049,0.041,-0.075,0.037
Pop14,-0.277,-0.184,-0.05,-0.162,-0.035,-0.039,-0.249,-0.098,0,-0.045,-0.081,-0.015,-0.14,0.002
Pop15,-0.084,-0.005,0.012,-0.06,0.011,-0.002,-0.131,0.044,-0.045,0,0.017,0.027,-0.113,0.035
Pop17,-0.049,0.002,0.024,-0.039,0.033,0.024,-0.119,0.049,-0.081,0.017,0,0.028,-0.094,0.06
Pop20,-0.106,-0.007,-0.008,-0.036,0.003,-0.005,-0.069,0.041,-0.015,0.027,0.028,0,-0.09,0.021
Pop21,-0.317,-0.202,-0.111,-0.242,-0.134,-0.133,-0.36,-0.075,-0.14,-0.113,-0.094,-0.09,0,-0.16
Pop22,-0.089,-0.005,0.027,-0.045,0.008,-0.001,-0.111,0.037,0.002,0.035,0.06,0.021,-0.16,0