Individual,PopID,Elevation,tmean1,tmax_1,tmin1,PPT1,tdmean1,vpdmax1,vpdmin1,solclear1,soltrans1
1.01,1,1106,13.5600004,22.420002,4.71000004,617.999023,1.59000003,23.1400013,2.64000011,23.7059994,0.81159997
1.03,1,1106,13.5600004,22.420002,4.71000004,617.999023,1.59000003,23.1400013,2.64000011,23.7059994,0.81159997
2.04,2,1346,13.4800005,21.3600006,5.61000013,628.829041,1.03000009,21.4500008,3.16000009,23.7806988,0.80439997
2.05,2,1346,13.4800005,21.3600006,5.61000013,628.829041,1.03000009,21.4500008,3.16000009,23.7806988,0.80439997
2.06,2,1346,13.4800005,21.3600006,5.61000013,628.829041,1.03000009,21.4500008,3.16000009,23.7806988,0.80439997
5.01,5,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
5.02,5,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
5.04,5,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.01,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.02,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.03,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.05,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.09,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
9.02,9,1606,12.7400007,19.6500015,5.84000015,580.013001,-0.49,19.0300007,3.55000019,24.0793991,0.81759995
9.04,9,1606,12.7400007,19.6500015,5.84000015,580.013001,-0.49,19.0300007,3.55000019,24.0793991,0.81759995
9.06,9,1606,12.7400007,19.6500015,5.84000015,580.013001,-0.49,19.0300007,3.55000019,24.0793991,0.81759995
10.03,10,1507,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
10.06,10,1507,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
10.09,10,1507,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
10.12,10,1507,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
11.01,11,1500,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
11.02,11,1500,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
11.04,11,1500,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
11.07,11,1500,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
12.01,12,818,15.460001,23.9400005,6.99000025,420.374023,3.63000011,24.3600006,2.70000005,23.5620003,0.82459998
12.02,12,818,15.460001,23.9400005,6.99000025,420.374023,3.63000011,24.3600006,2.70000005,23.5620003,0.82459998
13.02,13,951,15.0100012,23.8500004,6.18000031,438.475006,2.62000012,25.1100006,2.89000011,23.6770992,0.81269997
13.05,13,951,15.0100012,23.8500004,6.18000031,438.475006,2.62000012,25.1100006,2.89000011,23.6770992,0.81269997
13.07,13,951,15.0100012,23.8500004,6.18000031,438.475006,2.62000012,25.1100006,2.89000011,23.6770992,0.81269997
13.09,13,951,15.0100012,23.8500004,6.18000031,438.475006,2.62000012,25.1100006,2.89000011,23.6770992,0.81269997
14.02,14,1238,14.1400003,22.1400013,6.14000034,443.422028,2.12000012,22.2300015,3.13000011,23.9193001,0.80179995
14.04,14,1238,14.1400003,22.1400013,6.14000034,443.422028,2.12000012,22.2300015,3.13000011,23.9193001,0.80179995
15.01,15,1346,14.4800005,19.5,9.45000076,1037.20911,2.84000015,16.8700008,5.39000034,23.7463989,0.80649996
15.02,15,1346,14.4800005,19.5,9.45000076,1037.20911,2.84000015,16.8700008,5.39000034,23.7463989,0.80649996
15.04,15,1346,14.4800005,19.5,9.45000076,1037.20911,2.84000015,16.8700008,5.39000034,23.7463989,0.80649996
15.06,15,1346,14.4800005,19.5,9.45000076,1037.20911,2.84000015,16.8700008,5.39000034,23.7463989,0.80649996
16.01,16,1212,16,22.8000011,9.19000053,620.920044,1.41000009,22.6900005,5.9000001,23.2194996,0.84209997
17.04,17,1600,13.5200005,19.0500011,7.99000025,623.882019,-0.92,18.1800003,5.96000052,23.4898987,0.83929998
17.05,17,1600,13.5200005,19.0500011,7.99000025,623.882019,-0.92,18.1800003,5.96000052,23.4898987,0.83929998
17.06,17,1600,13.5200005,19.0500011,7.99000025,623.882019,-0.92,18.1800003,5.96000052,23.4898987,0.83929998
18.01,18,1600,13.5300007,19.0200005,8.03900051,610.647034,-0.85,18.0700016,5.97000027,23.6296997,0.83929998
18.02,18,1600,13.5300007,19.0200005,8.03900051,610.647034,-0.85,18.0700016,5.97000027,23.6296997,0.83929998
20.01,20,1755,13.2200003,20.6400013,5.80000019,595.781006,-1.4300001,20.2400017,3.70000029,23.2741985,0.81909996
20.02,20,1755,13.2200003,20.6400013,5.80000019,595.781006,-1.4300001,20.2400017,3.70000029,23.2741985,0.81909996
20.05,20,1755,13.2200003,20.6400013,5.80000019,595.781006,-1.4300001,20.2400017,3.70000029,23.2741985,0.81909996
20.06,20,1755,13.2200003,20.6400013,5.80000019,595.781006,-1.4300001,20.2400017,3.70000029,23.2741985,0.81909996
21.01,21,1262,13.5200005,20.5900002,6.45000029,583.956055,-0.26,20.2800007,3.52000022,23.5079002,0.81529999
21.02,21,1262,13.5200005,20.5900002,6.45000029,583.956055,-0.26,20.2800007,3.52000022,23.5079002,0.81529999
22.01,22,1262,13.7300005,20.5200005,6.94000053,498.86203,-0.07,20.1400013,3.74000025,23.5716991,0.81290001
22.02,22,1262,13.7300005,20.5200005,6.94000053,498.86203,-0.07,20.1400013,3.74000025,23.5716991,0.81290001
22.03,22,1262,13.7300005,20.5200005,6.94000053,498.86203,-0.07,20.1400013,3.74000025,23.5716991,0.81290001
22.05,22,1262,13.7300005,20.5200005,6.94000053,498.86203,-0.07,20.1400013,3.74000025,23.5716991,0.81290001
22.07,22,1262,13.7300005,20.5200005,6.94000053,498.86203,-0.07,20.1400013,3.74000025,23.5716991,0.81290001
23.01,23,1017,15.4000006,23.1400013,7.67000055,538.881043,2.70000005,23.7700005,3.74000025,23.5150986,0.81479996
23.02,23,1017,15.4000006,23.1400013,7.67000055,538.881043,2.70000005,23.7700005,3.74000025,23.5150986,0.81479996