Individual,PopID,Clim3
1.01,1,3
1.03,1,3
2.04,2,1
2.05,2,1
2.06,2,1
5.01,5,1
5.02,5,1
5.04,5,1
6.01,6,1
6.02,6,1
6.03,6,1
6.05,6,1
6.09,6,1
9.02,9,1
9.04,9,1
9.06,9,1
10.03,10,1
10.06,10,1
10.09,10,1
10.12,10,1
11.01,11,1
11.02,11,1
11.04,11,1
11.07,11,1
12.01,12,3
12.02,12,3
13.02,13,3
13.05,13,3
13.07,13,3
13.09,13,3
14.02,14,3
14.04,14,3
15.01,15,2
15.02,15,2
15.04,15,2
15.06,15,2
16.01,16,2
17.04,17,2
17.05,17,2
17.06,17,2
18.01,18,2
18.02,18,2
20.01,20,1
20.02,20,1
20.05,20,1
20.06,20,1
21.01,21,1
21.02,21,1
22.01,22,1
22.02,22,1
22.03,22,1
22.05,22,1
22.07,22,1
23.01,23,3
23.02,23,3