PopID,MultlocFis,Num,Eff_num,Ho,Hs,Gis
1,-0.662,2.62E+00,2.475,0.744,0.812,0.085
2,-0.671,2.733,2.474,0.641,0.693,0.076
5,-0.66,2.667,2.43,0.67,0.631,-0.063
6,-0.774,2.467,2.357,0.67,0.578,-0.159
9,-0.558,2.867,2.682,0.719,0.733,0.019
10,-0.656,2.533,2.434,0.756,0.566,-0.336
11,-0.71,2.467,2.369,0.728,0.575,-0.267
12,-0.622,2.846,2.821,0.833,0.783,-0.064
13,-0.692,2.4,2.389,0.733,0.563,-0.303
14,-0.421,2.917,2.917,0.75,0.738,-0.016
15,-0.674,2.533,2.408,0.696,0.58,-0.201
16,0,1,1,0,0,0
17,-0.66,2.6,2.514,0.707,0.613,-0.154
18,-0.688,2.636,2.545,0.833,0.72,-0.158
20,-0.715,2.4,2.334,0.728,0.552,-0.318
21,-0.644,2.5,2.379,0.69,0.773,0.107
22,-0.808,2.333,2.243,0.677,0.562,-0.203
23,-0.737,2.538,2.513,0.833,0.713,-0.169